1;1;1;1
2;1;1;2
3;1;1;3
4;1;2;8
5;5;13;9
6;11;17;10
7;11;18;11
8;11;19;12
9;11;20;13
10;5;10;16
11;5;10;17
12;5;11;18
13;5;11;19
14;5;12;20
15;5;12;21
16;5;12;4
17;5;12;5
18;5;12;6
19;5;12;7
20;5;11;4
21;5;11;5
22;5;11;6
23;5;11;7
24;5;10;4
25;5;10;5
26;5;10;6
27;5;10;7
28;5;12;14
29;5;13;22
30;11;17;15
31;11;18;15
32;11;19;15
33;11;20;15
34;11;21;15
35;11;22;15
36;5;11;23
37;2;3;24
38;2;4;24
39;2;5;24
40;2;6;24
41;2;3;25
42;2;4;26
43;2;5;27
44;2;6;28
45;5;13;29
46;2;29;24
47;2;30;24
46;2;29;30
47;2;30;31
