1;1;1;1
2;1;2;2
3;2;4;3
4;2;5;3
5;2;6;3
6;3;8;3
7;3;9;3
8;3;10;3
9;8;11;4
10;8;13;5
11;12;22;6
12;2;4;7
13;2;5;7
14;2;6;7
15;3;8;7
16;3;9;7
16;3;10;7
17;2;4;8
18;2;5;8
19;2;6;8
20;3;8;8
21;3;9;8
22;3;10;8
23;2;4;9
24;2;5;9
25;2;6;9
26;3;8;9
27;3;9;9
28;3;10;9
29;2;4;10
30;2;5;10
31;2;6;10
32;3;8;10
33;3;9;10
34;3;10;10
35;2;4;11
36;2;5;11
37;2;6;11
38;3;8;11
39;3;9;11
40;3;10;11
41;8;13;12
42;12;20;13
43;12;21;14
44;1;1;15
45;1;2;16
46;12;20;17
47;12;21;18
48;12;22;19
49;12;22;20
50;1;25;16
51;1;25;21
52;19;29;22
53;12;20;23
54;12;21;24
55;12;22;25
56;12;34;26
57;12;34;27
58;12;34;28
59;12;35;29
60;12;35;30
61;12;35;31
62;12;36;32
63;12;36;33
64;12;36;34
