1;1;'^(06|07)\\d{8}|^00\\d*|^\\+\\d*';'0';'+255'
2;2;'^(07)\\d{8}|^00\\d*|^\\+\\d*';'0';'+263'
3;3;'^(06|07)\\d{8}|^00\\d*|^\\+\\d*';'0';'+255'
4;4;'^(07)\\d{8}|^00\\d*|^\\+\\d*';'0';'+263'
5;5;'^(9)\\d{9}|^00\\d*|^\\+\\d*';'';'+977'
6;6;'^(8)\\d{8}|^00\\d*|^\\+\\d*';'';'+258'
7;7;'^(07)\\d{8}|^00\\d*|^\\+\\d*';'0';'+263'
8;8;'^(9)\\d{9}|^00\\d*|^\\+\\d*';'';'+977'
9;9;'^(8)\\d{8}|^00\\d*|^\\+\\d*';'';'+258'
10;10;'^(07)\\d{8}|^00\\d*|^\\+\\d*';'0';'+263'
